Name	Type	Category	Power	Acc	PP	Effect
Meteor Assault	Fighting	Physical	150	100%	5	The user attacks wildly with its thick leek. The user can’t move on the next turn, because the force of this move makes it stagger.
Dragon Energy	Dragon	Special	150	100%	5	Converting its life-force into power, the user attacks opposing Pokémon. The lower the user's HP, the lower the move's power.
Chloroblast	Grass	Special	150	95%	5	The user launches its amassed chlorophyll to inflict damage on the target. This also damages the user.
Sky Attack	Flying	Physical	140	90%	8	A second-turn attack move where critical hits land more easily. This may also make the target flinch.
Doom Desire	Steel	Special	140	100%	5	This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.
Psycho Boost	Psychic	Special	140	90%	5	The user attacks the target with all its might. The recoil from this move harshly lowers the user's Sp. Atk stat.
Last Resort	Normal	Physical	140	100%	5	This move can be used only after the user has used all the other moves it knows in the battle.
Freeze Shock	Ice	Physical	140	90%	5	The turn after using this move, the user hits the target with electrically charged ice to inflict damage. This may also leave the target with paralysis.
Ice Burn	Ice	Special	140	90%	5	The turn after using this move, the user surrounds the target with an ultracold, freezing wind to inflict damage. This may also leave the target with a burn.
Boomburst	Normal	Special	140	100%	10	The user attacks everything around it with the destructive power of a terrible explosive sound.
Light of Ruin	Fairy	Special	140	90%	5	Drawing power from the Eternal Flower, the user fires a powerful beam of light. This also damages the user quite a lot.
Steel Beam	Steel	Special	140	95%	5	The user fires a beam of steel that it collected from its entire body. This also damages the user.
Blood Moon	Normal	Special	140	100%	5	The user unleashes the full brunt of its spirit from a full moon that shines as red as blood. This move can't be used twice in a row.
Skull Bash	Normal	Physical	130	100%	12	The user tucks in its head to raise its Defense stat on the first turn, then rams the target on the next turn.
High Jump Kick	Fighting	Physical	130	90%	12	The target is attacked with a knee kick from a jump. If it misses, the user is hurt instead.
Overheat	Fire	Special	130	90%	8	The user attacks the target at full power. The attack’s recoil harshly lowers the user’s Sp. Atk stat.
Draco Meteor	Dragon	Special	130	90%	8	Comets are summoned down from the sky onto the target. The attack’s recoil harshly lowers the user’s Sp. Atk stat.
Leaf Storm	Grass	Special	130	90%	8	The user whips up a storm of leaves around the target. The attack’s recoil harshly lowers the user’s Sp. Atk stat.
Bolt Strike	Electric	Physical	130	85%	5	The user surrounds itself with a great amount of electricity and charges the target. This may also leave the target with paralysis.
Blue Flare	Fire	Special	130	85%	5	The user attacks by engulfing the target in an intense, yet beautiful, blue flame. This may also leave the target with a burn.
Burn Up	Fire	Special	130	100%	5	To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.
Fleur Cannon	Fairy	Special	130	90%	5	The user unleashes a strong beam. The recoil from this move harshly lowers the user's Sp. Atk stat.
Steel Roller	Steel	Physical	130	100%	5	The user attacks while destroying the terrain. This move fails if the ground hasn't turned into a terrain.
Electro Shot	Electric	Special	130	100%	10	The user gathers electricity on the first turn, boosting its Sp. Atk stat, then fires a high-voltage shot on the next turn. The shot will be fired immediately in rain.
Solar Blade	Grass	Physical	125	100%	12	In this two-turn attack, the user gathers light and fills a blade with the light’s energy, attacking the target on the next turn.
Mega Kick	Normal	Physical	120	75%	8	The target is attacked by a kick launched with muscle-packed power.
Thrash	Normal	Physical	120	100%	12	The user rampages and attacks for two to three turns. The user then becomes confused.
Double-Edge	Normal	Physical	120	100%	15	A reckless life-risking tackle in which the user rushes the target. This also damages the user quite a lot.
Solar Beam	Grass	Special	120	100%	12	In this two-turn attack, the user gathers light, then blasts a bundled beam on the next turn.
Petal Dance	Grass	Special	120	100%	12	The user attacks the target by scattering petals for two to three turns. The user then becomes confused.
Zap Cannon	Electric	Special	120	50%	5	The user attacks by firing an electric blast like a cannon. This also leaves the target with paralysis.
Outrage	Dragon	Physical	120	100%	12	The user rampages and attacks for two to three turns. The user then becomes confused.
Megahorn	Bug	Physical	120	85%	12	Using its tough and impressive horn, the user rams into the target with no letup.
Future Sight	Psychic	Special	120	100%	12	Two turns after this move is used, a hunk of psychic energy attacks the target.
Superpower	Fighting	Physical	120	100%	8	The user attacks the target with great power. However, this also lowers the user’s Attack and Defense stats.
Volt Tackle	Electric	Physical	120	100%	15	The user electrifies itself and charges the target. This also damages the user quite a lot. This attack may leave the target with paralysis.
Close Combat	Fighting	Physical	120	100%	8	The user fights the target up close without guarding itself. This also lowers the user’s Defense and Sp. Def stats.
Flare Blitz	Fire	Physical	120	100%	16	The user cloaks itself in fire and charges the target. This also damages the user quite a lot. This attack may leave the target with a burn.
Focus Blast	Fighting	Special	120	70%	8	The user heightens its mental focus and unleashes its power. This may also lower the target’s Sp. Def stat.
Brave Bird	Flying	Physical	120	100%	16	The user tucks in its wings and charges from a low altitude. This also damages the user quite a lot.
Power Whip	Grass	Physical	120	85%	12	The user violently whirls its vines, tentacles, or the like to harshly lash the target.
Gunk Shot	Poison	Physical	120	80%	8	The user shoots filthy garbage at the target to attack. This may also poison the target.
Wood Hammer	Grass	Physical	120	100%	16	The user slams its rugged body into the target to attack. This also damages the user quite a lot.
Seed Flare	Grass	Special	120	85%	5	The user emits a shock wave from its body to attack its target. This may also harshly lower the target's Sp. Def stat.
Shadow Force	Ghost	Physical	120	100%	5	The user disappears on the first turn, then attacks on the next turn. This move hits even if the target protects itself.
Synchronoise	Psychic	Special	120	100%	10	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Head Charge	Normal	Physical	120	100%	15	The user charges its head into its target, using its powerful guard hair. This also damages the user a little.
Techno Blast	Normal	Special	120	100%	5	The user fires a beam of light at its target. The move’s type changes depending on the Drive the user holds.
Belch	Poison	Special	120	90%	10	The user lets out a damaging belch at the target. The user must eat a held Berry to use this move.
Precipice Blades	Ground	Physical	120	85%	10	The user attacks opposing Pokémon by manifesting the power of the land in fearsome blades of stone.
Dragon Ascent	Flying	Physical	120	100%	5	The user attacks the target by dropping out of the sky at high speed. This also lowers the user's Defense and Sp. Def stats.
Multi-Attack	Normal	Physical	120	100%	10	Cloaking itself in high energy, the user slams into the target. The memory held determines the move’s type.
Sparkly Swirl	Fairy	Special	120	85%	5	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Pyro Ball	Fire	Physical	120	90%	5	The user attacks by igniting a small stone and launching it as a fiery ball at the target. This may also leave the target with a burn.
Meteor Beam	Rock	Special	120	90%	10	The user gathers energy from space and boosts its Sp. Atk stat on the first turn, then attacks on the next turn.
Glacial Lance	Ice	Physical	120	100%	5	The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.
Astral Barrage	Ghost	Special	120	100%	5	The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.
Raging Fury	Fire	Physical	120	100%	10	The user rampages around spewing flames for two to three turns. The user then becomes confused.
Wave Crash	Water	Physical	120	100%	10	The user shrouds itself in water and slams into the target with its whole body to inflict damage. This also damages the user quite a lot.
Headlong Rush	Ground	Physical	120	100%	5	The user smashes into the target in a full-body tackle. This also lowers the user’s Defense and Sp. Def stats.
Axe Kick	Fighting	Physical	120	90%	10	The user attacks by kicking up into the air and slamming its heel down upon the target. This may also confuse the target. If it misses, the user takes damage instead.
Glaive Rush	Dragon	Physical	120	100%	5	The user throws its entire body into a reckless charge. After this move is used, attacks on the user cannot miss and will inflict double damage until the user’s next turn.
Make It Rain	Steel	Special	120	100%	5	The user attacks by throwing out a mass of coins. This also lowers the user's Sp. Atk stat. Money is earned after the battle.
Armor Cannon	Fire	Special	120	100%	5	The user shoots its own armor out as blazing projectiles. This also lowers the user’s Defense and Sp. Def stats.
Double Shock	Electric	Physical	120	100%	5	The user discharges all the electricity from its body to perform a high-damage attack. After using this move, the user will no longer be Electric type.
Tera Starstorm	Normal	Special	120	100%	5	With the power of its crystals, the user bombards and eliminates the target. When used by Terapagos in its Stellar Form, this move damages all opposing Pokémon.
Hydro Pump	Water	Special	110	80%	8	The target is blasted by a huge volume of water launched under great pressure.
Blizzard	Ice	Special	110	70%	8	A howling blizzard is summoned to strike opposing Pokémon. This may also leave the opposing Pokémon frozen.
Thunder	Electric	Special	110	70%	12	A wicked thunderbolt is dropped on the target to inflict damage. This may also leave the target with paralysis.
Fire Blast	Fire	Special	110	85%	8	The target is attacked with an intense blast of all-consuming fire. This may also leave the target with a burn.
Hurricane	Flying	Special	110	70%	12	The user attacks by wrapping its opponent in a fierce wind that flies up into the sky. This may also confuse the target.
Steam Eruption	Water	Special	110	95%	5	The user immerses the target in superheated steam. This may also leave the target with a burn.
Origin Pulse	Water	Special	110	85%	10	The user attacks opposing Pokémon with countless beams of light that glow a deep and brilliant blue.
Clanging Scales	Dragon	Special	110	100%	5	The user rubs the scales on its entire body and makes a huge noise to attack opposing Pokémon. The user's Defense stat is lowered after the attack.
Aura Wheel	Electric	Physical	110	100%	10	Morpeko attacks and boosts its Speed stat with the energy stored in its cheeks. This move's type changes depending on the user's form.
Poltergeist	Ghost	Physical	110	90%	5	The user attacks by controlling the target's item. This move fails if the target isn't holding an item.
Jump Kick	Fighting	Physical	100	95%	10	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Earthquake	Ground	Physical	100	100%	12	The user sets off an earthquake that strikes every Pokémon around it.
Egg Bomb	Normal	Physical	100	75%	10	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Dream Eater	Psychic	Special	100	100%	16	The user eats the dreams of a sleeping target. The user’s HP is restored by half the damage taken by the target.
Crabhammer	Water	Physical	100	90%	12	The target is hammered with a large pincer. Critical hits land more easily.
Aeroblast	Flying	Special	100	95%	5	A vortex of air is shot at the target to inflict damage. This move has a heightened chance of landing a critical hit.
Sacred Fire	Fire	Physical	100	95%	5	The target is razed with a mystical fire of great intensity. This may also leave the target with a burn.
Dynamic Punch	Fighting	Physical	100	50%	5	The user attacks by punching the target with full concentrated power. This also confuses the target.
Iron Tail	Steel	Physical	100	75%	16	The target is slammed with a steel-hard tail. This may also lower the target’s Defense stat.
Cross Chop	Fighting	Physical	100	80%	8	The user delivers a double chop with its forearms crossed. Critical hits land more easily.
Hammer Arm	Fighting	Physical	100	90%	12	The user swings and hits with its strong, heavy fist. It lowers the user’s Speed, however.
Dragon Rush	Dragon	Physical	100	75%	12	The user tackles the target while exhibiting overwhelming menace. This may also make the target flinch.
Stone Edge	Rock	Physical	100	80%	8	The user stabs the target from below with sharpened stones. Critical hits land more easily.
Judgment	Normal	Special	100	100%	10	The user releases countless shots of light at the target. This move's type changes depending on the kind of plate held by the user.
Spacial Rend	Dragon	Special	100	95%	5	The user tears the target along with the space around it. This move has a heightened chance of landing a critical hit.
Magma Storm	Fire	Special	100	75%	5	The user traps the target inside a maelstrom of fire that inflicts damage for four to five turns.
Inferno	Fire	Special	100	50%	8	The user attacks by engulfing the target in an intense fire. This leaves the target with a burn.
Psystrike	Psychic	Special	100	100%	10	The user materializes an odd psychic wave to attack the target. This move deals physical damage.
Searing Shot	Fire	Special	100	100%	5	The user torches everything around it in an inferno of scarlet flames. This may also leave those it hits with a burn.
Fusion Flare	Fire	Special	100	100%	5	The user brings down a giant flame. This move's power is boosted when influenced by an enormous lightning bolt.
Fusion Bolt	Electric	Physical	100	100%	5	The user throws down a giant lightning bolt. This move's power is boosted when influenced by an enormous flame.
Flying Press	Fighting	Physical	100	95%	10	The user dives down onto the target from the sky. This move is Fighting and Flying type simultaneously.
Diamond Storm	Rock	Physical	100	95%	5	The user whips up a storm of diamonds to damage opposing Pokémon. This may also sharply boost the user's Defense stat.
Hyperspace Fury	Dark	Physical	100	—	5	Using its many arms, the user unleashes a barrage of attacks that ignore the effects of moves like Protect and Detect. This also lowers the user's Defense stat.
Ice Hammer	Ice	Physical	100	90%	10	The user swings its strong, heavy fist at the target to inflict damage. This also lowers the user's Speed stat.
Core Enforcer	Dragon	Special	100	100%	10	If the Pokémon the user has inflicted damage on have already used their moves, this move eliminates the effect of the target’s Ability.
Beak Blast	Flying	Physical	100	100%	15	The user first heats up its beak, and then it attacks the target. Making direct contact with the user while it's heating up its beak results in a burn.
Sunsteel Strike	Steel	Physical	100	100%	5	The user slams into the target with the force of a meteor. This move can be used on the target regardless of its Ability.
Moongeist Beam	Ghost	Special	100	100%	5	The user emits a sinister ray to attack the target. This move can be used on the target regardless of its Ability.
Plasma Fists	Electric	Physical	100	100%	15	The user attacks with electrically charged fists. This move changes Normal-type moves to Electric-type moves.
Photon Geyser	Psychic	Special	100	100%	5	The user attacks the target with a pillar of light. This move inflicts damage using the Attack or Sp. Atk stat—whichever is higher for the user.
Sappy Seed	Grass	Physical	100	90%	10	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Freezy Frost	Ice	Special	100	90%	10	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Dynamax Cannon	Dragon	Special	100	100%	5	The user condenses energy within its body and unleashes that energy from its core to inflict damage.
Max Flare	Fire	Physical	100	—	10	This is a Fire-type attack Dynamax Pokémon use. The user intensifies the sun for five turns.
Behemoth Blade	Steel	Physical	100	100%	5	The user becomes a gigantic sword and cuts the target. This move deals twice the damage if the target is Dynamaxed.
Behemoth Bash	Steel	Physical	100	100%	5	The user becomes a gigantic shield and slams into the target. This move deals twice the damage if the target is Dynamaxed.
Misty Explosion	Fairy	Special	100	100%	5	The user attacks everything around it and faints upon using this move. This move's power is boosted on Misty Terrain.
Springtide Storm	Fairy	Special	100	80%	5	The user attacks by wrapping opposing Pokémon in fierce winds brimming with love and hate. This may also lower their Attack stats.
Mountain Gale	Ice	Physical	100	85%	10	The user hurls giant chunks of ice at the target to inflict damage. This may also make the target flinch.
Bleakwind Storm	Flying	Special	100	80%	10	The user attacks with savagely cold winds that cause both body and spirit to tremble. This may also lower the Speed stats of opposing Pokémon.
Wildbolt Storm	Electric	Special	100	80%	10	The user summons a thunderous tempest and savagely attacks with lightning and wind. This may also leave opposing Pokémon with paralysis.
Sandsear Storm	Ground	Special	100	80%	10	The user attacks by wrapping opposing Pokémon in fierce winds and searingly hot sand. This may also leave them with a burn.
Spin Out	Steel	Physical	100	100%	5	The user spins furiously by straining its legs, inflicting damage on the target. This also harshly lowers the user's Speed stat.
Collision Course	Fighting	Physical	100	100%	5	The user transforms and crashes to the ground, causing a massive prehistoric explosion. This move's power is boosted more than usual if it’s a supereffective hit.
Electro Drift	Electric	Special	100	100%	5	The user races forward at ultrafast speeds, piercing its target with futuristic electricity. This move's power is boosted more than usual if it's a supereffective hit.
Hyper Drill	Normal	Physical	100	100%	5	The user spins the pointed part of its body at high speed to pierce the target. This attack can hit a target using a move such as Protect or Detect.
Noxious Torque	Poison	Physical	100	100%	10	—
Combat Torque	Fighting	Physical	100	100%	10	—
Magical Torque	Fairy	Physical	100	100%	10	—
Ivy Cudgel	Grass	Physical	100	100%	10	The user strikes with an ivy-wrapped cudgel. This move's type changes depending on the mask worn by the user, and it has a heightened chance of landing a critical hit.
Supercell Slam	Electric	Physical	100	95%	15	The user electrifies its body and drops onto the target to inflict damage. If this move misses, the user takes damage instead.
Malignant Chain	Poison	Special	100	100%	5	The user pours toxins into the target by wrapping them in a toxic, corrosive chain. This may also leave the target badly poisoned.
Heat Wave	Fire	Special	95	90%	12	The user attacks by exhaling hot breath on opposing Pokémon. This may also leave those Pokémon with a burn.
Luster Purge	Psychic	Special	95	100%	5	The user lets loose a damaging burst of light. This may also lower the target's Sp. Def stat.
Mist Ball	Psychic	Special	95	100%	5	A mist-like flurry of down envelops and damages the target. This may also lower the target's Sp. Atk stat.
Sludge Wave	Poison	Special	95	100%	12	The user strikes everything around it by swamping the area with a giant sludge wave. This may also poison those hit.
Foul Play	Dark	Physical	95	100%	16	The user turns the target’s power against it. The higher the target’s Attack stat, the greater the damage it deals.
Moonblast	Fairy	Special	95	100%	16	Borrowing the power of the moon, the user attacks the target. This may also lower the target’s Sp. Atk stat.
High Horsepower	Ground	Physical	95	95%	12	The user fiercely attacks the target using its entire body.
Mighty Cleave	Rock	Physical	95	100%	5	The user wields the light that has accumulated atop its head to cleave the target. This move hits even if the target protects itself.
Fly	Flying	Physical	90	95%	16	The user flies up into the sky and then strikes its target on the next turn.
Take Down	Normal	Physical	90	85%	20	A reckless, full-body charge attack for slamming into the target. This also damages the user a little.
Flamethrower	Fire	Special	90	100%	16	The target is scorched with an intense blast of fire. This may also leave the target with a burn.
Surf	Water	Special	90	100%	16	The user attacks everything around it by swamping its surroundings with a giant wave.
Ice Beam	Ice	Special	90	100%	12	The target is struck with an icy-cold beam of energy. This may also leave the target frozen.
Thunderbolt	Electric	Special	90	100%	16	A strong electric blast crashes down on the target. This may also leave the target with paralysis.
Psychic	Psychic	Special	90	100%	12	The target is hit by a strong telekinetic force. This may also lower the target’s Sp. Def stat.
Sludge Bomb	Poison	Special	90	100%	12	Unsanitary sludge is hurled at the target. This may also poison the target.
Uproar	Normal	Special	90	100%	12	The user attacks in an uproar for three turns. During that time, no Pokémon can fall asleep.
Hyper Voice	Normal	Special	90	100%	12	The user lets loose a horribly echoing shout with the power to inflict damage.
Meteor Mash	Steel	Physical	90	90%	12	The target is hit with a hard punch fired like a meteor. This may also raise the user’s Attack stat.
Muddy Water	Water	Special	90	85%	12	The user attacks by shooting muddy water at opposing Pokémon. This may also lower their accuracy.
Leaf Blade	Grass	Physical	90	100%	16	The user handles a sharp leaf like a sword and attacks by cutting its target. Critical hits land more easily.
Aqua Tail	Water	Physical	90	90%	12	The user attacks by swinging its tail as if it were a vicious wave in a raging storm.
Bug Buzz	Bug	Special	90	100%	12	The user generates a damaging sound wave by vibration. This may also lower the target’s Sp. Def stat.
Energy Ball	Grass	Special	90	100%	12	The user draws power from nature and fires it at the target. This may also lower the target’s Sp. Def stat.
Earth Power	Ground	Special	90	100%	12	The user makes the ground under the target erupt with power. This may also lower the target’s Sp. Def stat.
Rock Climb	Normal	Physical	90	85%	20	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Attack Order	Bug	Physical	90	100%	15	The user calls out its underlings to pummel the target. This move has a heightened chance of landing a critical hit.
Wild Charge	Electric	Physical	90	100%	16	The user shrouds itself in electricity and smashes into its target. This also damages the user a little.
Sacred Sword	Fighting	Physical	90	100%	15	The user attacks by slicing with a sword. The target's stat changes don't affect the damage inflicted by this move.
Phantom Force	Ghost	Physical	90	100%	12	The user vanishes somewhere, then strikes the target on the next turn. This move hits even if the target protects itself.
Petal Blizzard	Grass	Physical	90	100%	16	The user stirs up a violent petal blizzard and attacks everything around it.
Play Rough	Fairy	Physical	90	90%	12	The user plays rough with the target and attacks it. This may also lower the target’s Attack stat.
Thousand Arrows	Ground	Physical	90	100%	10	This move also hits opposing Pokémon that are in the air. Those Pokémon are knocked down to the ground.
Thousand Waves	Ground	Physical	90	100%	10	The user attacks with a wave that crawls along the ground. Those it hits can’t flee from battle.
Land’s Wrath	Ground	Physical	90	100%	10	The user gathers the energy of the land and focuses that power on opposing Pokémon to damage them.
First Impression	Bug	Physical	90	100%	10	Although this move has great power, it works only on the first turn each time the user enters battle.
Sparkling Aria	Water	Special	90	100%	10	The user bursts into song, emitting many bubbles. Any Pokémon suffering from a burn will be cured by the touch of these bubbles.
Pollen Puff	Bug	Special	90	100%	16	The user attacks the enemy with a pollen puff that explodes. If the target is an ally, it gives the ally a pollen puff that restores its HP instead.
Revelation Dance	Normal	Special	90	100%	15	The user attacks the target by dancing with all its might. This move becomes the same type as the user's type.
Dragon Hammer	Dragon	Physical	90	100%	15	The user wields its body like a hammer to attack the target and inflict damage.
Spectral Thief	Ghost	Physical	90	100%	10	The user hides in the target’s shadow, steals the target’s stat boosts, and then attacks.
Splishy Splash	Water	Special	90	100%	15	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Floaty Fall	Flying	Physical	90	95%	15	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Strange Steam	Fairy	Special	90	95%	10	The user attacks the target by emitting steam. This may also confuse the target.
Shell Side Arm	Poison	Special	90	100%	10	This move is either physical or special—whichever will inflict more damage. This may also poison the target.
Freezing Glare	Psychic	Special	90	100%	10	The user shoots its psychic power from its eyes to attack. This may also leave the target frozen.
Fiery Wrath	Dark	Special	90	100%	10	The user transforms its wrath into a fire-like aura to attack. This may also make opposing Pokémon flinch.
Thunderous Kick	Fighting	Physical	90	100%	10	The user overwhelms the target with lightning-like movement before delivering a kick. This also lowers the target's Defense stat.
Triple Arrows	Fighting	Physical	90	100%	10	The user kicks, then fires three arrows. This move has a heightened chance of landing a critical hit and may also lower the target’s Defense stat or make it flinch.
Raging Bull	Normal	Physical	90	100%	10	The user performs a tackle like a raging bull. This move's type depends on the user's form. It can also break barriers, such as Light Screen and Reflect.
Bitter Blade	Fire	Physical	90	100%	10	The user focuses its bitter feelings toward the world of the living into a slashing attack. The user's HP is restored by up to half the damage taken by the target.
Body Slam	Normal	Physical	85	100%	16	The user drops onto the target with its full body weight. This may also leave the target with paralysis.
Blaze Kick	Fire	Physical	85	90%	12	The user launches a kick that lands a critical hit more easily. This may also leave the target with a burn.
Sky Uppercut	Fighting	Physical	85	90%	15	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Bounce	Flying	Physical	85	85%	5	The user bounces up high on the first turn, then drops onto the target on the next turn. This may also leave the target with paralysis.
Dragon Pulse	Dragon	Special	85	100%	12	The target is attacked with a shock wave generated by the user’s gaping mouth.
Night Daze	Dark	Special	85	95%	12	The user lets loose a pitch-black shock wave at its target. This may also lower the target’s accuracy.
Secret Sword	Fighting	Special	85	100%	10	The user cuts with its long horn. The odd power contained in the horn deals physical damage to the target.
Icicle Crash	Ice	Physical	85	90%	12	The user attacks by harshly dropping large icicles onto the target. This may also make the target flinch.
Darkest Lariat	Dark	Physical	85	100%	10	The user swings both arms and hits the target. The target's stat changes don't affect the damage inflicted by this move.
Psychic Fangs	Psychic	Physical	85	100%	10	The user attacks by biting the target with its psychic capabilities. This move can also break barriers, such as Light Screen and Reflect.
Shadow Bone	Ghost	Physical	85	100%	10	The user attacks by beating the target with a bone that contains a spirit. This may also lower the target’s Defense stat.
Liquidation	Water	Physical	85	100%	12	The user slams into the target using a full-force blast of water. This may also lower the target’s Defense stat.
Bolt Beak	Electric	Physical	85	100%	10	The user stabs the target with its electrified beak. If the user attacks before the target, the power of this move is doubled.
Fishious Rend	Water	Physical	85	100%	10	The user rends the target with its hard gills. If the user attacks before the target, the power of this move is doubled.
Kowtow Cleave	Dark	Physical	85	—	10	The user slashes at the target after kowtowing to make the target let down its guard. This attack never misses.
Mega Punch	Normal	Physical	80	85%	20	The target is slugged by a punch thrown with muscle-packed power.
Razor Wind	Normal	Special	80	100%	10	This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.
Slam	Normal	Physical	80	75%	20	The target is slammed with a long tail, vines, or the like to inflict damage.
Drill Peck	Flying	Physical	80	100%	20	A corkscrewing attack that strikes the target with a sharp beak acting as a drill.
Submission	Fighting	Physical	80	80%	20	The user grabs the target and recklessly dives for the ground. This also damages the user a little.
Strength	Normal	Physical	80	100%	16	The target is slugged with a punch thrown at maximum power.
Dig	Ground	Physical	80	100%	10	The user burrows into the ground on the first turn, then attacks on the next turn.
Waterfall	Water	Physical	80	100%	16	The user charges at the target and may make it flinch.
Leech Life	Bug	Physical	80	100%	12	The user drains the target’s blood. The user’s HP is restored by half the damage taken by the target.
Hyper Fang	Normal	Physical	80	90%	16	The user bites hard on the target with its sharp front fangs. This may also make the target flinch.
Tri Attack	Normal	Special	80	100%	12	The user strikes with a simultaneous three-beam attack. This may also burn, freeze, or paralyze the target.
Crunch	Dark	Physical	80	100%	16	The user crunches up the target with sharp fangs. This may also lower the target’s Defense stat.
